Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Stefon Diggs,BUF,WR,29,2,2,23,20,0,0,0,0,0,0,270,4,51,0,0,0
Lamar Jackson,BAL,QB,25,2,2,0,0,531,6,59,136,1,15,0,0,63,1,1,0
Josh Allen,BUF,QB,26,2,2,0,0,614,7,69,66,1,11,0,0,61,2,0,0
Nick Chubb,CLE,RB,27,2,2,4,4,0,0,0,228,3,39,28,0,44,0,0,0
Amon-Ra St. Brown,DET,WR,23,2,2,24,17,0,0,0,68,0,2,180,3,43,0,0,0
Jaylen Waddle,MIA,WR,24,2,2,24,15,0,0,0,8,0,1,240,3,43,0,0,0
Jalen Hurts,PHI,QB,24,2,2,0,0,576,1,63,147,3,28,0,0,58,1,1,0
Tyreek Hill,MIA,WR,28,2,2,25,19,0,0,0,6,0,1,284,2,41,0,1,0
Carson Wentz,WAS,QB,30,2,2,0,0,650,7,87,35,0,8,0,0,56,3,1,0
Cooper Kupp,LAR,WR,29,2,2,29,24,0,0,0,0,0,0,236,3,40,0,1,1
D'Andre Swift,DET,RB,23,2,2,8,5,0,0,0,200,1,20,62,1,38,0,0,0
Tua Tagovailoa,MIA,QB,24,2,2,0,0,739,7,83,1,0,3,0,0,54,2,1,0
Aaron Jones,GNB,RB,28,2,2,8,6,0,0,0,181,1,20,65,1,37,0,0,0
Saquon Barkley,NYG,RB,25,2,2,11,9,0,0,0,236,1,39,46,0,36,0,1,0
Patrick Mahomes,KAN,QB,27,2,2,0,0,595,7,74,4,0,5,0,0,52,0,1,0
Justin Jefferson,MIN,WR,23,2,2,23,15,0,0,0,0,0,0,232,2,35,0,0,0
James Robinson,JAX,RB,24,2,2,4,3,0,0,0,130,2,34,17,1,33,0,0,0
Clyde Edwards-Helaire,KAN,RB,23,2,2,7,7,0,0,0,116,0,15,76,2,31,0,0,0
Christian Kirk,JAX,WR,26,2,2,18,12,0,0,0,0,0,0,195,2,32,0,0,0
Justin Herbert,LAC,QB,24,2,2,0,0,613,6,82,2,0,6,0,0,47,1,0,0
Kyler Murray,ARI,QB,25,2,2,0,0,470,3,83,57,1,10,0,0,47,1,0,0
Jonathan Taylor,IND,RB,23,2,2,8,5,0,0,0,215,1,40,23,0,30,0,0,0
Michael Thomas,NOR,WR,29,2,2,17,11,0,0,0,0,0,0,122,3,30,0,0,0
Travis Kelce,KAN,TE,33,2,2,16,13,0,0,0,0,0,0,172,1,23,0,0,0
Jahan Dotson,WAS,WR,22,2,2,10,7,0,0,0,-10,0,1,99,3,29,0,0,0
Rashod Bateman,BAL,WR,23,2,1,12,6,0,0,0,0,0,0,167,2,29,0,0,0
