Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Josh Allen,BUF,QB,26,6,6,0,0,1980,17,239,257,2,47,0,0,173,172.9,4,5,2
Nick Chubb,CLE,RB,27,6,6,11,7,0,0,0,649,7,110,51,0,112,119.0,0,0,0
Travis Kelce,KAN,TE,33,6,6,52,41,0,0,0,5,0,2,455,7,90,131.0,0,0,0
Stefon Diggs,BUF,WR,29,6,6,65,49,0,0,0,0,0,0,656,6,102,150.6,0,0,0
Saquon Barkley,NYG,RB,25,6,6,26,21,0,0,0,616,4,119,155,0,103,124.1,0,1,0
Lamar Jackson,BAL,QB,25,6,6,0,0,1277,13,181,451,2,56,0,0,146,146.2,6,3,1
Jalen Hurts,PHI,QB,24,6,6,0,0,1514,6,184,293,6,77,0,0,146,145.9,2,3,0
Patrick Mahomes,KAN,QB,27,6,6,0,0,1736,17,229,113,0,21,0,0,143,142.7,4,1,0
Austin Ekeler,LAC,RB,27,6,6,49,41,0,0,0,349,4,75,261,2,97,138.0,0,1,0
Cooper Kupp,LAR,WR,29,6,6,72,56,0,0,1,41,1,4,607,4,93,148.8,0,1,1
Mark Andrews,BAL,TE,27,6,6,57,39,0,0,0,3,0,1,455,5,76,114.8,0,0,0
Justin Jefferson,MIN,WR,23,6,6,63,46,23,0,1,3,1,1,654,2,87,132.6,0,0,0
Tyreek Hill,MIA,WR,28,6,6,65,50,0,0,0,18,0,4,701,2,84,133.9,0,1,0
Christian McCaffrey,CAR,RB,26,6,6,43,33,0,0,0,393,2,85,277,1,85,118.0,0,0,0
Derrick Henry,TEN,RB,28,5,5,14,10,0,0,0,408,5,104,121,0,83,92.9,0,1,0
Breece Hall,NYJ,RB,21,6,1,31,19,0,0,0,391,3,76,218,1,83,101.9,0,1,1
Joe Burrow,CIN,QB,26,6,6,0,0,1616,12,228,110,2,27,0,0,128,127.6,5,3,1
Taysom Hill,NOR,TE,32,5,1,1,1,38,1,5,267,5,26,2,0,62,63.4,0,1,0
Leonard Fournette,TAM,RB,27,6,6,36,32,0,0,0,343,1,95,232,3,82,113.5,0,0,0
Josh Jacobs,LVR,RB,24,5,5,18,17,0,0,0,490,3,91,129,0,80,96.9,0,1,0
Miles Sanders,PHI,RB,25,6,6,13,11,0,0,0,485,4,105,42,0,77,87.7,0,0,0
Davante Adams,LVR,WR,30,5,5,54,29,0,0,0,0,0,2,414,5,71,100.4,0,1,0
Jaylen Waddle,MIA,WR,24,6,6,49,30,0,0,0,17,0,2,533,3,71,101.0,0,1,1
Dalvin Cook,MIN,RB,27,6,6,16,12,0,0,0,450,4,94,80,0,75,87.0,0,1,1
Ja'Marr Chase,CIN,WR,22,6,6,63,39,0,0,0,2,0,4,475,4,70,108.7,0,1,1
Jamaal Williams,DET,RB,27,5,2,8,5,0,0,0,332,6,77,30,0,72,77.2,0,0,0
Rhamondre Stevenson,NWE,RB,24,6,1,21,17,0,0,0,448,3,87,86,0,71,88.4,0,0,0
Marquise Brown,ARI,WR,25,6,6,64,43,0,0,0,0,0,0,485,3,67,109.5,0,1,0
Clyde Edwards-Helaire,KAN,RB,23,6,6,18,16,0,0,0,256,2,59,137,3,69,85.3,0,0,0
Deebo Samuel,SFO,WR,26,6,5,47,27,0,0,0,136,1,23,345,2,64,91.1,0,2,1
Kyler Murray,ARI,QB,25,6,6,0,0,1463,6,252,233,2,38,0,0,114,113.8,4,4,1
Gabriel Davis,BUF,WR,23,5,5,26,14,0,0,0,0,0,0,383,4,62,76.3,0,0,0
A.J. Brown,PHI,WR,25,6,5,53,33,0,0,0,0,0,0,503,2,62,95.3,0,0,0
T.J. Hockenson,DET,TE,25,5,5,34,19,0,0,0,0,0,0,267,3,47,65.7,0,0,0
Dameon Pierce,HOU,RB,22,5,5,15,13,0,0,0,412,3,86,57,0,65,77.9,0,2,0
