Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Josh Jacobs,LVR,RB,24,13,13,52,44,0,0,0,1402,11,269,346,0,239,282.8,0,2,1
Jalen Hurts,PHI,QB,24,13,13,0,0,3157,22,388,686,10,139,0,0,335,334.9,3,9,2
Travis Kelce,KAN,TE,33,13,13,117,81,0,0,0,5,0,2,1039,12,176,257.4,0,1,1
Patrick Mahomes,KAN,QB,27,13,13,0,0,4160,33,511,280,2,47,0,0,320,320.4,11,4,0
Derrick Henry,TEN,RB,28,13,13,34,26,4,1,2,1199,11,275,320,0,218,244.1,0,4,2
Justin Jefferson,MIN,WR,23,13,13,142,99,34,0,2,24,1,4,1500,6,198,296.8,0,0,0
Davante Adams,LVR,WR,30,13,13,142,82,0,0,0,-1,0,3,1247,12,197,278.6,0,1,0
Josh Allen,BUF,QB,26,13,13,0,0,3553,26,470,628,6,99,0,0,315,314.9,11,10,4
Tyreek Hill,MIA,WR,28,13,13,139,100,0,0,0,30,0,6,1460,6,191,291.0,0,1,0
Nick Chubb,CLE,RB,27,13,13,27,20,0,0,0,1153,12,231,172,0,205,224.5,0,1,1
Stefon Diggs,BUF,WR,29,13,13,133,94,0,0,0,0,0,0,1239,10,184,277.9,0,1,0
Christian McCaffrey,2TM,RB,26,13,12,86,68,34,1,1,819,5,174,593,4,201,268.6,0,1,0
Austin Ekeler,LAC,RB,27,13,13,112,93,0,0,0,634,8,153,623,5,200,292.7,0,4,2
Joe Burrow,CIN,QB,26,13,13,0,0,3685,27,473,234,5,65,0,0,291,290.8,9,4,2
Tony Pollard,DAL,RB,25,13,4,41,29,0,0,0,894,9,158,279,3,189,218.3,0,0,0
Saquon Barkley,NYG,RB,25,13,13,54,42,0,0,0,1083,8,251,261,0,184,226.4,0,1,0
Miles Sanders,PHI,RB,25,13,11,23,18,0,0,0,1068,11,204,85,0,181,199.3,0,0,0
A.J. Brown,PHI,WR,25,13,12,102,65,0,0,0,0,0,0,1020,10,158,223.0,0,2,2
Jamaal Williams,DET,RB,27,13,7,13,9,0,0,0,806,14,204,57,0,168,177.3,0,3,2
Dalvin Cook,MIN,RB,27,13,13,44,29,0,0,0,950,8,213,170,1,162,191.0,0,2,2
CeeDee Lamb,DAL,WR,23,13,13,117,74,0,0,0,46,0,9,961,6,137,210.7,0,0,0
Jaylen Waddle,MIA,WR,24,13,13,94,59,0,0,0,17,0,2,1003,6,136,195.0,0,1,1
Amon-Ra St. Brown,DET,WR,23,12,12,109,82,0,0,0,89,0,7,898,6,135,216.7,0,0,0
Tyler Lockett,SEA,WR,30,13,13,99,71,0,0,0,0,0,0,896,8,134,204.6,0,2,2
Aaron Jones,GNB,RB,28,13,13,58,48,0,0,0,847,2,164,328,4,154,201.5,0,3,1
Joe Mixon,CIN,RB,26,11,11,55,43,0,0,0,701,6,172,324,2,151,193.5,0,0,0
Christian Kirk,JAX,WR,26,13,13,106,67,0,0,1,7,0,4,874,7,128,195.1,0,1,1
Amari Cooper,CLE,WR,28,13,13,109,63,0,0,1,0,0,0,874,7,127,190.4,1,0,0
Cooper Kupp,LAR,WR,29,9,9,98,75,0,0,1,52,1,9,812,6,126,201.4,0,2,1
Taysom Hill,NOR,TE,32,12,7,11,7,136,1,15,419,5,61,66,2,100,106.9,0,1,0
Mark Andrews,BAL,TE,27,12,12,92,58,0,0,0,8,0,3,671,5,100,157.9,0,1,0
Justin Fields,CHI,QB,23,12,12,0,0,1896,13,253,905,8,128,0,0,246,246.3,10,13,1
Geno Smith,SEA,QB,32,13,13,0,0,3433,25,428,263,1,55,0,0,246,245.6,8,6,4
Ja'Marr Chase,CIN,WR,22,9,9,97,64,0,0,0,8,0,5,821,7,123,186.9,0,1,1
Rhamondre Stevenson,NWE,RB,24,13,5,70,58,0,0,0,742,4,164,385,1,143,200.7,0,1,0
T.J. Hockenson,2TM,TE,25,13,12,91,62,0,0,0,0,0,0,697,4,94,155.7,0,1,1
D.K. Metcalf,SEA,WR,25,13,13,110,72,0,0,0,0,0,0,869,6,119,190.9,0,2,2
Dameon Pierce,HOU,RB,22,13,13,39,30,0,0,0,939,4,220,165,1,136,166.4,0,4,2
Brandon Aiyuk,SFO,WR,24,13,13,86,58,0,0,0,7,0,1,755,7,116,174.2,0,1,1
Tee Higgins,CIN,WR,23,13,11,85,60,0,0,0,0,0,0,861,5,116,176.1,0,0,0
Lamar Jackson,BAL,QB,25,12,12,0,0,2242,17,326,764,3,112,0,0,236,236.1,7,5,2
Trevor Lawrence,JAX,QB,23,13,13,0,0,3202,20,458,218,4,46,0,0,236,235.9,6,8,6
Terry McLaurin,WAS,WR,27,13,13,98,62,0,0,0,17,0,6,945,3,114,176.2,0,1,0
Ezekiel Elliott,DAL,RB,27,11,10,18,14,0,0,0,716,9,172,73,0,133,146.9,0,0,0
Garrett Wilson,NYJ,WR,22,13,8,101,63,0,0,1,4,0,4,868,4,111,174.2,0,1,0
Kenneth Walker III,SEA,RB,22,11,7,26,19,0,0,0,649,9,138,116,0,131,149.5,0,0,0
Deebo Samuel,SFO,WR,26,12,11,91,54,0,0,0,228,3,41,612,2,110,164.0,0,3,2
Justin Herbert,LAC,QB,24,13,13,2,2,3706,21,561,143,0,45,-10,0,230,231.5,7,6,2
Najee Harris,PIT,RB,24,13,13,40,32,4,0,1,704,5,187,165,2,127,159.1,0,2,1
Chris Olave,NOR,WR,22,12,7,98,60,0,0,0,0,0,0,887,3,107,166.7,0,1,1
Evan Engram,JAX,TE,28,13,10,74,53,0,0,0,0,0,1,548,4,81,133.8,0,0,0
