Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Justin Jefferson,MIN@DET,37,0,0,0,0,0,0,1,-12,0,0,12,192,1,0,0,0
Derek Carr,ATL@NO,34,28,22,264,4,0,0,1,6,0,0,0,0,0,0,0,0
Nico Collins,HOU@IND,34,0,0,0,0,0,0,0,0,0,0,9,195,1,0,0,0
CeeDee Lamb,DAL@WAS,34,0,0,0,0,0,0,1,7,0,0,13,98,2,0,0,0
Dak Prescott,DAL@WAS,33,36,31,279,4,1,0,0,0,0,0,0,0,0,0,0,0
James Conner,SEA@ARI,30,0,0,0,0,0,0,27,150,1,0,4,54,0,0,0,0
Carson Wentz,LA@SF,29,24,17,163,2,1,1,17,56,1,0,0,0,0,0,0,0
Breece Hall,NYJ@NE,28,0,0,0,0,0,0,37,178,1,1,2,12,0,0,0,0
Josh Allen,BUF@MIA,27,38,30,359,2,2,0,15,67,0,0,0,0,0,0,1,0
Amon-Ra St. Brown,MIN@DET,27,0,0,0,0,0,0,0,0,0,0,7,144,1,0,0,0
Jonathan Taylor,HOU@IND,26,0,0,0,0,0,0,30,188,1,0,2,8,0,0,0,0
Bijan Robinson,ATL@NO,25,0,0,0,0,0,0,11,28,0,0,7,103,1,0,0,0
Jared Goff,MIN@DET,24,32,23,320,2,0,0,0,0,0,0,0,0,0,0,0,0
Najee Harris,PIT@BAL,24,0,0,0,0,0,0,26,112,1,0,5,21,0,0,0,0
Joe Mixon,CLE@CIN,24,0,0,0,0,0,0,14,111,1,0,1,6,1,0,0,0
C.J. Stroud,HOU@IND,24,26,20,264,2,0,0,3,20,0,0,0,0,0,0,0,0
Dontayvion Wicks,CHI@GB,24,0,0,0,0,0,0,0,0,0,0,6,61,2,0,0,0
Saquon Barkley,PHI@NYG,23,0,0,0,0,0,0,18,46,2,0,2,51,0,0,0,0
Jake Browning,CLE@CIN,23,24,18,156,3,1,0,2,18,0,0,0,0,0,0,0,0
Evan Engram,JAX@TEN,23,0,0,0,0,0,0,0,0,0,0,10,79,1,0,0,0
Jordan Love,CHI@GB,23,32,27,316,2,0,0,3,-1,0,0,0,0,0,0,1,0
Nick Mullens,MIN@DET,23,44,30,396,2,2,0,2,8,0,0,0,0,0,0,0,0
Geno Smith,SEA@ARI,23,28,16,189,2,0,1,3,28,0,0,0,0,0,0,0,0
Quez Watkins,PHI@NYG,23,0,0,0,0,0,0,0,0,0,0,8,93,1,0,0,0
David Bell,CLE@CIN,22,0,0,0,0,0,0,0,0,0,0,4,68,2,0,0,0
Calvin Ridley,JAX@TEN,22,0,0,0,0,0,0,0,0,0,0,6,106,1,0,0,0
Derrick Henry,JAX@TEN,21,0,0,0,0,0,0,19,153,1,0,0,0,0,0,0,0
Tyreek Hill,BUF@MIA,21,0,0,0,0,0,0,0,0,0,0,7,82,1,0,0,0
Jakobi Meyers,DEN@LV,21,0,0,0,0,0,0,1,5,1,0,3,61,1,0,0,0
Aidan O'Connell,DEN@LV,21,31,20,244,2,0,0,4,1,0,0,0,0,0,0,0,0
Tyjae Spears,JAX@TEN,21,0,0,0,0,0,0,3,25,1,0,3,41,1,0,0,0
Andrei Iosivas,CLE@CIN,20,0,0,0,0,0,0,0,0,0,0,5,36,2,0,0,0
Trevor Lawrence,JAX@TEN,20,43,29,280,2,2,0,3,10,0,0,0,0,0,0,0,0
A.T. Perry,ATL@NO,20,0,0,0,0,0,0,0,0,0,0,3,53,2,0,0,0
Desmond Ridder,ATL@NO,20,30,22,291,2,1,0,2,0,0,0,0,0,0,0,1,0
Javonte Williams,DEN@LV,20,0,0,0,0,0,0,9,32,1,0,7,43,0,0,0,0
Sam Darnold,LA@SF,19,26,16,189,1,0,0,7,19,1,0,0,0,0,0,1,0
Aaron Jones,CHI@GB,19,0,0,0,0,0,0,22,111,0,0,5,30,0,0,0,0
Kyler Murray,SEA@ARI,19,30,22,262,1,0,0,5,33,0,0,0,0,0,0,0,0
Diontae Johnson,PIT@BAL,18,0,0,0,0,0,0,0,0,0,0,4,89,1,0,0,0
Tyrod Taylor,PHI@NYG,18,32,23,297,1,1,0,8,38,0,0,0,0,0,0,0,0
Jeff Driskel,CLE@CIN,17,26,13,166,2,2,0,7,33,0,0,0,0,0,0,0,0
DeAndre Hopkins,JAX@TEN,17,1,0,0,0,0,0,0,0,0,0,7,46,1,0,0,0
Tyler Lockett,SEA@ARI,17,0,0,0,0,0,0,0,0,0,0,2,71,1,1,0,0
Darius Slayton,PHI@NYG,17,0,0,0,0,0,0,0,0,0,0,5,62,1,0,0,0
Jerry Jeudy,DEN@LV,16,0,0,0,0,0,0,0,0,0,0,3,79,1,0,0,0
Tony Pollard,DAL@WAS,16,0,0,0,0,0,0,17,70,1,0,2,16,0,0,0,0
Khalil Shakir,BUF@MIA,16,0,0,0,0,0,0,0,0,0,0,6,105,0,0,0,0
