Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Tyreek Hill,MIA@LAC,44,0,0,0,0,0,0,0,0,0,0,11,215,2,0,0,0
Tua Tagovailoa,MIA@LAC,33,45,28,466,3,1,0,5,5,0,0,0,0,0,0,1,0
Brandon Aiyuk,SF@PIT,32,0,0,0,0,0,0,0,0,0,0,8,129,2,0,0,0
Mac Jones,PHI@NE,29,54,35,316,3,1,0,2,15,0,0,0,0,0,0,0,0
Jakobi Meyers,LV@DEN,29,0,0,0,0,0,0,0,0,0,0,9,81,2,0,0,0
Jordan Love,GB@CHI,28,27,15,245,3,0,0,3,12,0,0,0,0,0,0,0,0
Stefon Diggs,BUF@NYJ,26,0,0,0,0,0,0,0,0,0,0,10,102,1,0,0,0
Aaron Jones,GB@CHI,26,0,0,0,0,0,0,9,41,1,0,2,86,1,0,0,0
Austin Ekeler,MIA@LAC,25,0,0,0,0,0,0,16,117,1,0,4,47,0,0,0,0
Christian McCaffrey,SF@PIT,25,0,0,0,0,0,0,22,152,1,0,3,17,0,0,0,0
Kendrick Bourne,PHI@NE,24,0,0,0,0,0,0,0,0,0,0,6,64,2,0,0,0
Justin Jefferson,TB@MIN,24,0,0,0,0,0,0,0,0,0,0,9,150,0,0,0,0
Calvin Ridley,JAX@IND,24,0,0,0,0,0,0,0,0,0,0,8,101,1,0,0,0
Tyler Allgeier,CAR@ATL,23,0,0,0,0,0,0,15,75,2,0,3,19,0,0,0,0
Patrick Mahomes,DET@KC,23,39,21,226,2,1,0,6,45,0,0,0,0,0,0,0,0
Michael Pittman,JAX@IND,23,0,0,0,0,0,0,0,0,0,0,8,97,1,0,0,0
Justin Herbert,MIA@LAC,22,33,23,229,1,0,0,5,17,1,0,0,0,0,0,0,0
Tony Pollard,DAL@NYG,22,0,0,0,0,0,0,14,70,2,0,2,12,0,0,0,0
Anthony Richardson,JAX@IND,22,37,24,223,1,1,0,10,40,1,0,0,0,0,0,0,0
Deshaun Watson,CIN@CLE,22,29,16,154,1,1,0,5,45,1,1,0,0,0,0,0,0
Kirk Cousins,TB@MIN,21,44,33,344,2,1,0,3,7,0,0,0,0,0,0,2,0
Trevor Lawrence,JAX@IND,21,32,24,241,2,1,0,7,21,0,0,0,0,0,0,0,0
Puka Nacua,LA@SEA,21,0,0,0,0,0,0,0,0,0,0,10,119,0,0,0,0
Brock Purdy,SF@PIT,21,29,19,220,2,0,0,3,20,0,0,0,0,0,0,1,0
Travis Etienne,JAX@IND,20,0,0,0,0,0,0,18,77,1,0,5,27,0,0,0,0
Jimmy Garoppolo,LV@DEN,19,26,20,200,2,1,0,9,11,0,0,0,0,0,0,0,0
Baker Mayfield,TB@MIN,19,34,21,173,2,0,0,8,11,0,0,0,0,0,0,0,0
