Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
CeeDee Lamb,LA@DAL,40,0,0,0,0,0,0,1,12,0,0,12,158,2,0,0,0
Sam Howell,PHI@WAS,38,52,39,397,4,1,0,3,11,0,0,0,0,0,0,0,0
Jalen Hurts,PHI@WAS,35,38,29,319,4,0,0,4,6,0,0,0,0,0,0,1,0
Dak Prescott,LA@DAL,35,31,25,304,4,1,0,4,19,0,0,0,0,0,0,0,0
DeAndre Hopkins,ATL@TEN,34,0,0,0,0,0,0,0,0,0,0,4,128,3,0,0,0
Will Levis,ATL@TEN,34,29,19,238,4,0,0,7,11,0,0,0,0,0,0,0,0
A.J. Brown,PHI@WAS,33,0,0,0,0,0,0,0,0,0,0,8,130,2,0,0,0
Joe Burrow,CIN@SF,33,32,28,283,3,0,0,6,43,0,0,0,0,0,0,0,0
Josh Allen,TB@BUF,32,40,31,324,2,1,0,7,41,1,0,0,0,0,0,0,0
Gus Edwards,BAL@ARI,29,0,0,0,0,0,0,19,80,3,0,2,14,0,0,0,0
Jahmyr Gibbs,LV@DET,29,0,0,0,0,0,0,26,152,1,0,5,37,0,0,0,0
Justin Herbert,CHI@LAC,29,40,31,298,3,0,0,1,1,0,0,0,0,0,0,0,0
Christian McCaffrey,CIN@SF,29,0,0,0,0,0,0,12,54,1,0,6,64,1,0,0,0
Tua Tagovailoa,NE@MIA,27,45,30,324,3,1,0,6,8,0,0,0,0,0,0,1,0
Ja'Marr Chase,CIN@SF,26,0,0,0,0,0,0,2,-8,0,0,10,100,1,0,0,0
Joshua Dobbs,BAL@ARI,26,37,25,208,2,2,0,6,26,1,1,0,0,0,0,0,0
Alvin Kamara,NO@IND,26,0,0,0,0,0,0,17,59,1,0,4,51,1,0,0,0
Travis Etienne,JAX@PIT,25,0,0,0,0,0,0,24,79,0,1,3,70,1,0,0,0
Tyreek Hill,NE@MIA,25,0,0,0,0,0,0,0,0,0,0,8,112,1,0,0,0
Trey McBride,BAL@ARI,25,0,0,0,0,0,0,0,0,0,0,10,95,1,0,0,0
Jaylen Waddle,NE@MIA,25,0,0,0,0,0,0,0,0,0,0,7,121,1,0,0,0
Jahan Dotson,PHI@WAS,24,0,0,0,0,0,0,0,0,0,0,8,108,1,0,0,0
Baker Mayfield,TB@BUF,24,42,25,237,2,0,1,3,19,0,0,0,0,0,0,0,0
Rashid Shaheed,NO@IND,24,0,0,0,0,0,0,0,0,0,0,3,153,1,0,0,0
Russell Wilson,KC@DEN,24,19,12,114,3,0,0,8,30,0,0,0,0,0,0,1,0
Derek Carr,NO@IND,23,27,19,310,2,0,0,1,-1,0,0,0,0,0,0,1,0
Gabriel Davis,TB@BUF,23,0,0,0,0,0,0,0,0,0,0,9,87,1,0,0,0
Austin Ekeler,CHI@LAC,23,0,0,0,0,0,0,15,29,0,0,7,94,1,0,1,0
George Kittle,CIN@SF,23,0,0,0,0,0,0,0,0,0,0,9,149,0,0,0,0
Kirk Cousins,MIN@GB,22,31,23,274,2,0,0,2,9,0,0,0,0,0,0,0,0
Jamison Crowder,PHI@WAS,22,0,0,0,0,0,0,0,0,0,0,7,95,1,0,0,0
Tyler Lockett,CLE@SEA,22,0,0,0,0,0,0,0,0,0,0,8,81,1,0,0,0
DeVonta Smith,PHI@WAS,22,0,0,0,0,0,0,0,0,0,0,7,99,1,0,0,0
Jordan Addison,MIN@GB,21,0,0,0,0,0,0,1,2,0,0,7,82,1,0,0,0
Taysom Hill,NO@IND,21,2,1,44,0,0,0,9,63,2,0,1,14,0,0,0,0
Breece Hall,NYJ@NYG,20,0,0,0,0,0,0,12,17,0,0,6,76,1,0,0,0
T.J. Hockenson,MIN@GB,20,0,0,0,0,0,0,0,0,0,0,6,88,1,0,0,0
Brock Purdy,CIN@SF,20,31,22,365,1,2,0,6,57,0,0,0,0,0,0,1,0
Sam LaPorta,LV@DET,19,0,0,0,0,0,0,0,0,0,0,8,57,1,0,0,0
Joe Mixon,CIN@SF,19,0,0,0,0,0,0,16,87,1,0,3,23,0,0,0,0
Gardner Minshew,NO@IND,18,41,23,213,2,1,0,1,3,0,0,0,0,0,0,0,0
Michael Pittman,NO@IND,18,0,0,0,0,0,0,0,0,0,0,8,40,1,0,0,0
Geno Smith,CLE@SEA,18,37,23,254,2,2,0,2,-3,0,0,0,0,0,0,0,0
Javonte Williams,KC@DEN,18,0,0,0,0,0,0,27,85,0,0,3,13,1,0,0,0
Evan Engram,JAX@PIT,17,0,0,0,0,0,0,0,0,0,0,10,88,0,0,1,0
Chris Godwin,TB@BUF,17,0,0,0,0,0,0,1,14,0,0,5,54,1,0,0,0
Dalton Kincaid,TB@BUF,17,0,0,0,0,0,0,0,0,0,0,5,65,1,0,0,0
Cole Kmet,CHI@LAC,17,0,0,0,0,0,0,0,0,0,0,10,79,0,0,0,0
Terry McLaurin,PHI@WAS,17,0,0,0,0,0,0,0,0,0,0,5,63,1,0,0,0
David Njoku,CLE@SEA,17,0,0,0,0,0,0,0,0,0,0,4,77,1,0,0,0
K.J. Osborn,MIN@GB,17,0,0,0,0,0,0,0,0,0,0,8,99,0,0,0,0
Rachaad White,TB@BUF,17,0,0,0,0,0,0,9,39,0,0,7,70,0,0,0,0
Garrett Wilson,NYJ@NYG,17,0,0,0,0,0,0,1,6,0,0,7,100,0,0,0,0
Stefon Diggs,TB@BUF,16,0,0,0,0,0,0,0,0,0,0,9,70,0,0,0,0
Derrick Henry,ATL@TEN,16,0,0,0,0,0,0,22,101,0,0,4,21,0,0,0,0
Josh Jacobs,LV@DET,16,0,0,0,0,0,0,15,61,1,0,2,27,0,0,0,0
Diontae Johnson,JAX@PIT,16,0,0,0,0,0,0,0,0,0,0,8,85,0,0,0,0
Mac Jones,NE@MIA,16,29,19,161,2,1,0,1,-2,0,0,0,0,0,0,0,0
Trevor Lawrence,JAX@PIT,16,32,24,292,1,1,0,1,10,0,0,0,0,0,0,0,0
Jordan Love,MIN@GB,16,41,24,229,1,1,0,4,34,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,LV@DET,16,0,0,0,0,0,0,0,0,0,0,6,108,0,0,0,0
Logan Thomas,PHI@WAS,16,0,0,0,0,0,0,0,0,0,0,6,44,1,0,0,0
Bryce Young,HOU@CAR,16,31,22,235,1,0,0,4,11,0,0,0,0,0,0,0,0
Brandon Aiyuk,CIN@SF,15,0,0,0,0,0,0,0,0,0,0,5,109,0,0,0,0
Saquon Barkley,NYJ@NYG,15,0,0,0,0,0,0,36,128,0,0,3,0,0,0,0,0
Marquise Brown,BAL@ARI,15,0,0,0,0,0,0,0,0,0,0,6,33,1,0,0,0
Khalil Shakir,TB@BUF,15,0,0,0,0,0,0,0,0,0,0,6,92,0,0,0,0
Adam Thielen,HOU@CAR,15,0,0,0,0,0,0,0,0,0,0,8,72,0,0,0,0
Zach Wilson,NYJ@NYG,15,36,17,240,1,0,0,4,25,0,0,0,0,0,0,2,0
Keenan Allen,CHI@LAC,14,0,0,0,0,0,0,0,0,0,0,8,69,0,0,0,0
Mark Andrews,BAL@ARI,14,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0
Amari Cooper,CLE@SEA,14,0,0,0,0,0,0,0,0,0,0,6,89,0,0,0,0
Josh Downs,NO@IND,14,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,0
Jake Ferguson,LA@DAL,14,0,0,0,0,0,0,0,0,0,0,4,47,1,0,0,0
Jared Goff,LV@DET,14,37,26,272,1,1,0,2,-2,0,0,0,0,0,0,0,0
Taylor Heinicke,ATL@TEN,14,21,12,175,1,0,0,2,14,0,0,0,0,0,0,0,0
Donald Parham,CHI@LAC,14,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
Calvin Ridley,JAX@PIT,14,0,0,0,0,0,0,0,0,0,0,6,83,0,0,0,0
Tyler Boyd,CIN@SF,13,0,0,0,0,0,0,1,6,0,0,3,40,1,0,0,0
Brandin Cooks,LA@DAL,13,0,0,0,0,0,0,1,3,0,0,3,49,1,0,0,0
Kareem Hunt,CLE@SEA,13,0,0,0,0,0,0,14,55,1,0,1,12,0,0,0,0
Lamar Jackson,BAL@ARI,13,27,18,157,1,0,0,5,17,0,0,0,0,0,0,0,0
Jerry Jeudy,KC@DEN,13,0,0,0,0,0,0,0,0,0,0,2,50,1,0,0,0
Zack Moss,NO@IND,13,0,0,0,0,0,0,11,66,1,0,1,8,0,0,0,0
D'Andre Swift,PHI@WAS,13,0,0,0,0,0,0,16,57,1,0,2,7,0,0,0,0
Kendrick Bourne,NE@MIA,12,0,0,0,0,0,0,0,0,0,0,3,36,1,0,0,0
Darrynton Evans,CHI@LAC,12,0,0,0,0,0,0,4,18,1,0,3,22,0,0,0,0
Mike Evans,TB@BUF,12,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,0
Jayden Reed,MIN@GB,12,0,0,0,0,0,0,0,0,0,0,4,83,0,0,0,0
Bijan Robinson,ATL@TEN,12,0,0,0,0,0,0,11,62,1,0,0,0,0,0,0,0
Jaxon Smith-Njigba,CLE@SEA,12,0,0,0,0,0,0,0,0,0,0,3,36,1,0,0,0
Matthew Stafford,LA@DAL,12,22,13,162,1,1,0,1,9,0,0,0,0,0,1,0,0
C.J. Stroud,HOU@CAR,12,24,16,140,0,0,0,2,13,1,0,0,0,0,0,0,0
Phillip Walker,CLE@SEA,12,31,15,248,1,2,0,6,27,0,0,0,0,0,0,1,0
Tyson Bagent,CHI@LAC,11,37,25,232,0,2,0,4,-1,1,0,0,0,0,0,0,0
Romeo Doubs,MIN@GB,11,0,0,0,0,0,0,0,0,0,0,4,18,1,0,0,0
Darrell Henderson,LA@DAL,11,0,0,0,0,0,0,12,31,0,0,3,54,0,0,0,0
Tee Higgins,CIN@SF,11,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
Travis Kelce,KC@DEN,11,0,0,0,0,0,0,0,0,0,0,6,58,0,0,0,0
D.K. Metcalf,CLE@SEA,11,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0
Jake Bobo,CLE@SEA,10,0,0,0,0,0,0,1,3,1,0,2,23,0,0,0,0
AJ Dillon,MIN@GB,10,0,0,0,0,0,0,6,11,0,0,5,41,0,0,0,0
Royce Freeman,LA@DAL,10,0,0,0,0,0,0,9,44,1,0,0,0,0,0,0,0
Najee Harris,JAX@PIT,10,0,0,0,0,0,0,7,13,0,0,5,42,0,0,0,0
Khadarel Hodge,ATL@TEN,10,0,0,0,0,0,0,0,0,0,0,3,75,0,0,0,0
Quentin Johnston,CHI@LAC,10,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
