,Player,PPRFantasyPoints
0,Demarcus Robinson,5.0
1,Travis Kelce,17.0
2,Tanoh Kpassagnon,0.0
3,L'Jarius Sneed,0.0
4,Frank Clark,0.0
5,Juan Thornhill,0.0
6,Clyde Edwards-Helaire,19.8
7,Armani Watts,0.0
8,Andrew Wylie,0.0
9,Ben Niemann,0.0
10,Harrison Butker,0.0
11,Eric Fisher,0.0
12,Damien Wilson,0.0
13,Khalen Saunders,0.0
14,Tedric Thompson,0.0
15,Darrel Williams,5.0
16,Dorian O'Daniel,0.0
17,Darwin Thompson,0.0
18,Alex Okafor,0.0
19,Nick Allegretti,0.0
20,Charvarius Ward,0.0
21,Antonio Hamilton,0.0
22,James Winchester,0.0
23,Austin Reiter,0.0
24,Tyreek Hill,15.6
25,Byron Pringle,0.0
26,Nick Keizer,0.0
27,Patrick Mahomes,20.44
28,Daniel Sorensen,0.0
29,Derrick Nnadi,0.0
30,Anthony Sherman,0.2
31,Marcus Kemp,0.0
32,Mitchell Schwartz,0.0
33,Kelechi Osemele,0.0
34,Anthony Hitchens,0.0
35,Rashad Fenton,0.0
36,Chris Jones,0.0
37,Sammy Watkins,21.5
38,Mecole Hardman,1.6
39,Willie Gay Jr.,0.0
40,Michael Danna,0.0
41,Tyrann Mathieu,0.0
42,Bryan Anger,0.0
43,Ka'imi Fairbairn,0.0
44,Brandin Cooks,4.0
45,Carlos Watkins,0.0
46,Eric Murray,0.0
47,Roderick Johnson,0.0
48,Lonnie Johnson Jr.,0.0
49,Buddy Howell,0.0
50,Justin Reid,0.0
51,A.J. Moore,0.0
52,Max Scharping,0.0
53,Kenny Stills,0.0
54,Laremy Tunsil,0.0
55,Nick Martin,0.0
56,Randall Cobb,4.300000000000001
57,DeAndre Carter,1.8
58,John Reid,0.0
59,Whitney Mercilus,0.0
60,Duke Johnson,1.4
61,Jacob Martin,0.0
62,Darren Fells,3.9
63,Brennan Scarlett,0.0
64,Bradley Roby,0.0
65,Tyrell Adams,0.0
66,P.J. Hall,0.0
67,Keion Crossen,0.0
68,Jon Weeks,0.0
69,Ross Blacklock,0.0
70,Phillip Gaines,0.0
71,Kahale Warring,0.0
72,Deshaun Watson,20.82
73,J.J. Watt,0.0
74,Benardrick McKinney,0.0
75,Brandon Dunn,0.0
76,Vernon Hargreaves III,0.0
